device_id,licence_number,registration_id,radcom_access_id,radcom_registration_id,freq_centre,bandwidth,freq_lower,freq_upper,occupied_bw,service_type,service_subtype,licence_subtype,height,latitude,longitude,site_id,site_name,state,client,industry,emission_designator,tx_rx,power_watts,eirp_watts,simplex_duplex,azimuth,antenna_gain,antenna_manufacturer,antenna_model,multi_antenna,antenna_size,antenna_tilt,antenna_type,date_authorised,date_issued,date_effective,date_expires,licence_status
331705693,9867483,10307768,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-37.859231,140.757389,9018788,NBN Co Site 21444 Riddoch Highway MOORAK,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,150,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,9/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
331705738,9867483,10089465,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,22.5,-37.055978,146.088507,36810,Telstra Exchange 45 Hunter St MANSFIELD,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,180,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331705783,9867483,10275959,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-35.959135,146.889159,9019700,NBN Co Site Dight St JINDERA,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,180,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,9/8/2017,9/12/2015,14/12/2015,13/12/2030,Granted
331705988,9867483,10305227,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,45,-38.278652,142.473039,9019721,NBN Co Site 476 Ibbs Lane MAILORS FLAT,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,30,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,3/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
331706411,9867483,10104838,,,3435000000,19900000,3425050000,3444950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-37.515329,143.809009,9015336,NBN Co Site 10 Morang Crescent MITCHELL PARK,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,120,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,21/9/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331706446,9867483,9996853,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-36.229948,145.560267,9018139,NBN Co Site 238-240 Hickey Road KATANDRA WEST,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,20,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,27/4/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331706518,9867483,9972017,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-35.737485,143.905791,9023022,NBN Co Site 91 Murray Valley Highway KERANG,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8593,X,105,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,30/3/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331707046,9867483,10082262,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,25,-38.389283,142.629618,9007522,Telstra Site Watermark Rd BREEZA,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,15,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,2/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331707119,9867483,10089457,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40.5,-38.115524,147.069841,130188,Dyers Transport Premises 11 Stephenson Street SALE,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,270,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
331707359,9867483,10001142,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,45,-37.843747,147.567317,9022858,NBN Co Site 910 Princes Highway BAIRNSDALE,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,12709.25,X,80,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,11/5/2016,9/12/2015,14/12/2015,13/12/2030,Granted
